Cache Timing Analysis
====================

Overall Statistics:
  Min access time: 108 cycles
  Max access time: 137952 cycles
  Mean access time: 356.03 cycles
  Median access time: 332.00 cycles
  Std dev of access times: 389.75 cycles

Potential cache hit/miss threshold: 105260.00 cycles
  Values below this are likely cache hits
  Values above this are likely cache misses

Statistics by Address:
Address,Mean,Median,StdDev,Min,Max
9728,356.04,340.00,82.32,152,1140
9792,341.68,328.00,73.32,288,1224
9856,356.77,340.00,86.93,140,1024
9920,347.16,328.00,88.72,260,1016
9984,352.61,336.00,81.02,268,1028
10048,368.61,348.00,97.14,276,1208
10112,369.15,348.00,88.44,284,1032
10176,353.13,332.00,93.36,232,1132
10240,360.56,338.00,97.47,300,1312
10304,351.45,332.00,89.24,296,1304
10368,350.72,336.00,83.56,264,1044
10432,363.68,348.00,78.06,288,1064
10496,357.73,336.00,91.06,280,1028
10560,350.34,328.00,97.19,260,1188
10624,355.32,340.00,81.47,300,1104
10688,349.86,328.00,95.52,196,1324
10752,385.13,336.00,703.59,300,17132
10816,353.50,332.00,96.39,296,1228
10880,369.75,336.00,465.42,204,14800
10944,370.61,348.00,101.92,176,1104
11008,358.27,336.00,92.06,268,1104
11072,363.94,328.00,508.10,212,16156
11136,348.88,332.00,81.08,264,1264
11200,368.01,348.00,88.07,304,1040
11264,359.89,340.00,89.44,300,1172
11328,344.04,328.00,78.63,288,988
11392,367.71,348.00,85.66,204,1044
11456,408.44,336.00,1776.96,288,56508
11520,355.54,336.00,86.07,208,1032
11584,368.38,344.00,98.79,288,1092
11648,369.36,348.00,90.99,288,1044
11712,351.12,332.00,86.22,276,1064
11776,357.09,336.00,99.21,156,1552
11840,365.42,344.00,89.81,136,1036
11904,368.56,332.00,554.59,292,17696
11968,367.16,348.00,87.27,256,1116
12032,385.66,340.00,762.39,300,24284
12096,347.48,328.00,81.90,288,1016
12160,354.18,336.00,96.83,300,1856
12224,367.15,344.00,94.71,308,1164
12288,359.12,340.00,95.21,300,1332
12352,352.10,328.00,97.72,272,1100
12416,355.30,340.00,68.14,192,944
12480,346.80,328.00,86.28,168,1016
12544,355.77,340.00,84.30,300,1096
12608,489.87,336.00,4216.12,268,133716
12672,352.64,332.00,85.71,220,1120
12736,363.43,348.00,76.44,260,1056
12800,360.73,336.00,95.42,300,1380
12864,364.98,328.00,630.16,200,20104
12928,364.34,352.00,74.59,280,1124
12992,352.61,336.00,86.68,276,1028
13056,376.42,340.00,651.60,300,20788
13120,348.74,332.00,78.73,296,1016
13184,354.25,340.00,76.77,300,1016
13248,364.01,328.00,616.75,288,19672
13312,352.00,336.00,70.67,200,1028
13376,378.69,344.00,469.68,276,14996
13440,358.07,338.00,87.88,300,1184
13504,359.95,332.00,112.86,292,1468
13568,359.47,340.00,95.02,300,1116
13632,354.32,328.00,105.29,164,1096
13696,365.64,348.00,88.96,308,1164
13760,360.64,340.00,103.17,220,1084
13824,344.40,328.00,79.19,288,972
13888,382.03,336.00,631.34,148,20068
13952,348.71,328.00,92.08,196,1104
14016,360.96,340.00,100.97,176,1360
14080,351.69,332.00,85.67,296,1116
14144,357.83,336.00,91.73,300,1028
